,Inflam_lympasia_minC20,Inflam_neutasia_minC20,TRD_AgeSmkEas_greS22,TRD_CigDayEas_greS22,TRD_DrnkWkEas_greS22,TRD_EA_twb,TRD_SmkCesEas_gre22,TRD_SmkInitEas_greS22,TRD_alb_twbbbj,TRD_alt_twbbbj,TRD_ast_twbbbj,TRD_bfr_twb,TRD_bmi_twbbbj,TRD_bun_twbbbj,TRD_cadasn_satK20,TRD_cardstrokeeas_aniM22,TRD_cr_twbbbj,TRD_crpasn_saoS21,TRD_dbp_twbbbj,TRD_fev_twb,TRD_fg_twbbbj,TRD_fvc_twb,TRD_ggt_twbbbj,TRD_hb_twbbbj,TRD_hba1c_twbbbj,TRD_hc_twb,TRD_hct_twbbbj,TRD_hdl_twbbbj,TRD_hr_twb,TRD_ht_twbasn,TRD_iscstrokeeas_aniM22,TRD_ldl_twbbbj,TRD_lvesstrokeeas_aniM22,TRD_malb_twb,TRD_mddasi_olgG21,TRD_plt_twbbbj,TRD_rbc_twbbbj,TRD_sbp_twbbbj,TRD_sczasn_maxL19,TRD_strokeeas_aniM22,TRD_svesstrokeeas_aniM22,TRD_t2d_twbasn,TRD_tbil_twbbbj,TRD_tc_twbbbj,TRD_ua_twbbbj,TRD_wbc_twbbbj,TRD_wc_twb,TRD_whr_twb,TRD_wt_twbbbj,TRD_tg_twbbbj
Inflam_lympasia_minC20,1.0,0.226,-0.0258,0.1316,0.0223,-0.1058,0.3941,0.1109,0.0566,0.2497,0.1548,0.2863,0.2229,0.0169,0.0283,0.2874,0.0181,0.1966,0.1419,-0.1231,0.1004,-0.039,0.2171,0.0884,0.1934,0.1338,0.0797,-0.1659,0.0212,-0.1056,0.0873,0.1462,0.1338,0.2021,-0.0418,0.2031,0.0373,0.1586,-0.0273,0.1142,0.0355,0.2268,-0.2316,0.0897,0.1422,0.6305,0.1685,0.1521,0.1238,0.2666
Inflam_neutasia_minC20,0.226,1.0,-0.2536,0.2094,-0.061,-0.0753,0.3437,0.1262,0.0107,0.0853,-0.053,0.2566,0.1372,0.0167,0.1027,0.1489,0.0537,0.2973,0.1165,-0.0048,0.1228,-0.0551,0.0745,0.1795,0.1195,0.0873,0.1849,-0.2626,0.0989,-0.1077,0.099,-0.0273,-0.214,0.1989,-0.1118,0.3182,0.1878,0.1827,-0.0326,0.1096,0.1183,0.1213,-0.1378,-0.0755,0.1388,0.9533,0.1679,0.1872,0.0447,0.2184
TRD_AgeSmkEas_greS22,-0.0258,-0.2536,1.0,0.0036,-0.1178,0.3085,-0.455,-0.4742,0.1682,0.1881,0.2378,-0.0426,-0.0196,-0.0141,-0.0738,-0.8596,-0.0632,0.082,-0.0747,-0.1883,0.0226,-0.111,0.1287,0.0833,0.0683,0.0578,0.0603,0.0466,-0.0058,0.0998,-0.0266,0.023,0.5341,0.0714,0.1018,0.0096,0.059,-0.0378,0.1563,-0.0616,0.1952,0.0026,0.1678,0.0521,-0.0649,-0.0212,0.0971,0.0671,0.0433,-0.0679
TRD_CigDayEas_greS22,0.1316,0.2094,0.0036,1.0,0.0396,-0.0953,0.339,0.3922,-0.0661,0.0269,0.0038,0.1279,0.1506,-0.0243,0.1782,0.4911,0.0437,0.0337,-0.1199,-0.0228,-0.0497,-0.0403,-0.0313,-0.0498,0.0371,0.1006,-0.0308,-0.206,0.0512,0.0324,0.0519,0.0987,0.045,0.0941,-0.0431,0.06,0.0184,-0.0518,0.1013,-0.0126,-0.031,0.0895,-0.1507,0.0237,0.042,0.1456,0.1196,0.0897,0.1437,0.1756
TRD_DrnkWkEas_greS22,0.0223,-0.061,-0.1178,0.0396,1.0,-0.1223,0.389,0.4176,0.0201,0.1421,0.2663,0.0477,0.071,-0.1709,-0.2507,0.2398,-0.0537,0.1568,0.0689,0.1579,0.0457,0.1709,0.356,0.0142,-0.1633,0.042,-0.0525,0.1366,-0.1064,0.028,0.2473,-0.1665,0.2363,-0.0241,-0.1147,-0.1685,-0.1599,0.0879,0.0094,0.216,0.0818,-0.0166,0.0175,-0.0703,0.193,-0.0399,0.0206,-0.0131,0.0763,-0.037
TRD_EA_twb,-0.1058,-0.0753,0.3085,-0.0953,-0.1223,1.0,-0.2545,-0.3849,0.0005,0.0013,0.0473,-0.2574,-0.1829,-0.042,-0.1652,0.1066,-0.0578,-0.2608,-0.1223,0.1114,-0.1299,0.0062,-0.0665,-0.0009,-0.0753,-0.1562,-0.0411,0.2019,0.027,-0.005,-0.0269,0.0147,0.1021,-0.0822,0.1798,-0.0111,-0.0474,-0.1444,0.1984,-0.07,-0.0648,-0.1293,0.1095,0.0502,-0.0775,-0.1088,-0.231,-0.2161,-0.1482,-0.1541
TRD_SmkCesEas_gre22,0.3941,0.3437,-0.455,0.339,0.389,-0.2545,1.0,0.7976,-0.042,0.1408,-0.0028,0.3353,0.2539,-0.0806,0.0268,-0.5317,0.1112,0.227,-0.0027,0.1328,0.0885,-0.0093,0.1758,0.0025,0.0639,0.2247,0.0511,-0.2861,0.024,-0.0525,0.1106,0.0142,0.0715,0.0616,-0.3417,0.0093,0.0263,0.039,-0.1232,0.143,-0.0734,0.1445,-0.2454,-0.0519,0.2217,0.3227,0.2376,0.147,0.1805,0.3242
TRD_SmkInitEas_greS22,0.1109,0.1262,-0.4742,0.3922,0.4176,-0.3849,0.7976,1.0,-0.1244,0.0016,-0.0036,0.2767,0.1826,-0.0604,0.1023,-0.0549,0.0935,0.1672,0.1343,0.1428,0.0643,0.1342,0.1469,-0.0312,0.0187,0.2267,-0.0537,-0.0914,-0.0053,0.0541,0.1348,-0.0709,0.0744,0.0597,-0.1316,0.0444,-0.0582,0.1297,-0.0959,0.1276,0.0686,0.1314,-0.2168,-0.0688,0.1053,0.1173,0.2366,0.1401,0.1918,0.1388
TRD_alb_twbbbj,0.0566,0.0107,0.1682,-0.0661,0.0201,0.0005,-0.042,-0.1244,1.0,0.2402,0.1824,-0.135,-0.1751,0.0324,0.0241,-0.2204,-0.0589,-0.2037,0.0965,-0.05,0.1198,-0.0597,0.1983,0.0464,0.0482,-0.239,0.0115,-0.0153,0.1124,-0.0559,0.0383,0.11,-0.243,0.1325,0.0837,0.0215,0.0151,0.095,-0.0155,0.041,0.1396,0.0775,0.1261,0.1324,0.0886,-0.001,-0.1574,0.027,-0.1849,0.2064
TRD_alt_twbbbj,0.2497,0.0853,0.1881,0.0269,0.1421,0.0013,0.1408,0.0016,0.2402,1.0,0.719,0.2623,0.2235,0.0472,0.062,-0.2739,-0.0212,0.1325,0.1345,-0.0584,0.1991,-0.0537,0.5028,0.1867,0.1478,0.1154,0.133,-0.1221,0.0213,-0.0925,0.0755,0.1081,0.0932,0.1179,0.0035,-0.0432,0.1136,0.189,-0.0488,0.0647,0.1801,0.2995,0.0165,0.0788,0.1358,0.115,0.2641,0.3409,0.1383,0.1429
TRD_ast_twbbbj,0.1548,-0.053,0.2378,0.0038,0.2663,0.0473,-0.0028,-0.0036,0.1824,0.719,1.0,0.0414,0.05,0.0416,-0.0245,-0.2093,0.0529,0.1002,0.0589,-0.0212,0.0191,0.0085,0.4185,0.0974,0.0196,-0.0186,0.0466,0.0705,-0.061,-0.0944,-0.0053,0.0591,0.0888,-0.0015,0.1268,-0.1131,-0.0003,0.0766,-0.0441,-0.0366,0.1528,0.0706,0.041,0.1062,0.1427,-0.0154,0.0427,0.1159,-0.0058,0.0208
TRD_bfr_twb,0.2863,0.2566,-0.0426,0.1279,0.0477,-0.2574,0.3353,0.2767,-0.135,0.2623,0.0414,1.0,0.8934,0.0311,0.2056,-0.0822,0.024,0.4801,0.2514,0.0217,0.2439,0.0641,0.1947,0.0424,0.3005,0.7963,0.0484,-0.3764,-0.0167,-0.0607,0.2093,0.0818,0.3491,0.226,-0.2801,0.0841,0.1233,0.3199,-0.1347,0.311,0.1637,0.475,-0.1883,-0.0409,0.2554,0.2631,0.8947,0.618,0.721,0.2823
