,37_bmi_sarP19,38_whr_sarP19,40_t2d_mahA18,7_sczeur_vasT22,8_mdd_howD19,Inflam_lymp_minC20,Inflam_neut_minC20,TRD_AgeSmkEur_greS22,TRD_CAD_ukbcard,TRD_CigDayEur_greS22,TRD_DrnkWkEur_greS22,TRD_EA_jamL18,TRD_HrtRate_zhaZ19,TRD_HtEur_loiY22,TRD_SmkCesEur_gre22,TRD_SmkInitEur_greS22,TRD_alb_ukbv3,TRD_alt_ukbv3,TRD_ast_ukbv3,TRD_bfr_ukbv3,TRD_bun_ukbv3,TRD_cardstrokeeur_aniM22,TRD_cr_ukbv3,TRD_crp_sarS22,TRD_dbp_ukbv3,TRD_fev_ukbv3,TRD_fg_ukbv3,TRD_fvc_ukbv3,TRD_ggt_ukbv3,TRD_hb_ukbv3,TRD_hba1c_ukbv3,TRD_hc_ukbv3,TRD_hct_ukbv3,TRD_hdl_ukbv3,TRD_iscstrokeeur_aniM22,TRD_ldl_ukbv3,TRD_lvesstrokeeur_aniM22,TRD_malb_ukbv3,TRD_plt_ukbv3,TRD_rbc_ukbv3,TRD_sbp_ukbv3,TRD_strokeeur_aniM22,TRD_svesstrokeeur_aniM22,TRD_tbil_ukbv3,TRD_tc_ukbv3,TRD_ua_ukbv3,TRD_wbc_ukbv3,TRD_wc_ukbv3,TRD_wt_ukbv3,TRD_tg_ukbv3
37_bmi_sarP19,1.0,0.59,0.5502,-0.1046,0.1133,-0.0016,-0.0055,-0.2942,0.2995,0.3345,-0.0533,-0.3075,0.1226,-0.105,0.2703,0.2515,-0.2428,0.3216,0.0895,0.8444,0.09,0.0944,0.0687,0.5189,0.2982,-0.203,0.2403,-0.2511,0.2551,0.086,0.272,0.8544,0.0955,-0.4285,0.2393,-0.081,0.259,0.3667,0.0118,0.1309,0.1739,0.245,0.2834,-0.1714,-0.175,0.3758,0.2399,0.897,0.8316,0.3013
38_whr_sarP19,0.59,1.0,0.5848,-0.0353,0.1597,0.1169,0.0794,-0.3289,0.3493,0.3003,0.0209,-0.3126,0.1737,-0.0444,0.2596,0.2579,-0.0798,0.4206,0.133,0.6272,0.0305,0.0626,-0.0379,0.4457,0.2182,-0.2299,0.256,-0.2653,0.3707,0.1689,0.3044,0.3744,0.1585,-0.486,0.2637,0.0348,0.3735,0.3393,0.0963,0.1705,0.1504,0.2698,0.3571,-0.1753,-0.0644,0.34,0.2966,0.7764,0.5019,0.4892
40_t2d_mahA18,0.5502,0.5848,1.0,-0.0489,0.1406,0.0907,0.0816,-0.2466,0.3938,0.3025,-0.0769,-0.2535,0.196,-0.0235,0.2085,0.1673,-0.0048,0.466,0.1404,0.5351,0.0981,0.134,-0.0447,0.3895,0.2737,-0.2335,0.5553,-0.271,0.3453,0.1319,0.5971,0.4359,0.1213,-0.4805,0.3461,-0.1053,0.504,0.372,0.0244,0.1748,0.2757,0.3456,0.4075,-0.18,-0.1895,0.3776,0.2704,0.6031,0.4735,0.4467
7_sczeur_vasT22,-0.1046,-0.0353,-0.0489,1.0,0.3426,0.0464,0.0014,-0.0545,-0.041,0.1022,0.0955,0.0212,0.0147,-0.0106,0.1281,0.169,0.0219,-0.0264,0.0365,-0.0808,-0.0821,-0.0145,-0.0692,-0.0592,-0.039,-0.0531,-0.0589,-0.0157,-0.0344,-0.0047,-0.0096,-0.1113,0.0003,0.0695,0.0469,0.0203,0.0425,0.0785,-0.0077,-0.0264,-0.0518,0.0558,0.0297,-0.0314,0.0365,-0.0597,0.0413,-0.098,-0.1054,-0.0427
8_mdd_howD19,0.1133,0.1597,0.1406,0.3426,1.0,0.0112,0.0284,-0.2674,0.1888,0.2097,0.0781,-0.1751,0.0598,-0.0475,0.2265,0.3251,-0.0475,0.0723,0.0178,0.1488,-0.0057,0.0198,-0.0286,0.1071,0.0194,-0.0994,0.0398,-0.0927,0.1177,-0.0175,0.0914,0.0913,-0.0224,-0.1225,0.1404,-0.0468,0.0741,0.1287,0.0404,-0.0184,-0.0018,0.1432,0.158,-0.1113,-0.0566,0.0655,0.1251,0.1595,0.0888,0.1369
Inflam_lymp_minC20,-0.0016,0.1169,0.0907,0.0464,0.0112,1.0,0.3016,-0.0388,0.0759,0.0247,-0.0071,-0.0405,0.0313,-0.0311,0.0493,0.0255,-0.0183,0.0957,0.0116,0.0498,0.0278,0.0683,-0.0322,0.1035,0.0196,-0.0625,0.0123,-0.0715,0.1181,0.0684,0.1669,-0.0323,0.1053,-0.1193,0.0564,0.0327,0.1998,0.0827,0.2125,0.0633,0.0472,0.056,0.1312,-0.0954,0.0155,0.1086,0.6082,0.0387,-0.0185,0.1806
Inflam_neut_minC20,-0.0055,0.0794,0.0816,0.0014,0.0284,0.3016,1.0,-0.0606,0.0842,0.0575,-0.0509,-0.1021,0.1122,-0.0181,0.0476,-0.0129,-0.0112,-0.0183,-0.0726,0.0725,0.0394,0.0117,0.0374,0.2072,0.0455,-0.0725,-0.0201,-0.0655,0.0424,0.1462,0.0368,-0.0041,0.1795,-0.1211,0.0795,-0.047,0.0892,0.1598,0.212,0.1846,0.1006,0.07,0.1608,-0.0435,-0.0546,0.0946,0.8446,0.0364,-0.0118,0.156
TRD_AgeSmkEur_greS22,-0.2942,-0.3289,-0.2466,-0.0545,-0.2674,-0.0388,-0.0606,1.0,-0.2346,-0.3726,-0.1713,0.5916,-0.0815,0.0732,-0.3356,-0.6582,0.0952,-0.181,-0.0137,-0.3327,-0.0515,-0.0591,-0.0085,-0.2755,-0.1137,0.1987,-0.1407,0.1684,-0.223,-0.0558,-0.2016,-0.2172,-0.0541,0.2702,-0.2358,0.0185,-0.459,-0.1902,-0.041,-0.0473,-0.0631,-0.2292,-0.3494,0.1906,0.0629,-0.1911,-0.2486,-0.3388,-0.2404,-0.2575
TRD_CAD_ukbcard,0.2995,0.3493,0.3938,-0.041,0.1888,0.0759,0.0842,-0.2346,1.0,0.2514,-0.0026,-0.2687,0.0458,-0.1371,0.21,0.235,-0.0006,0.3107,0.1364,0.3113,0.0494,0.2446,0.0118,0.2581,0.271,-0.205,0.1494,-0.2332,0.3024,0.1318,0.2674,0.1748,0.1258,-0.2826,0.4981,0.0193,0.6825,0.3287,0.0624,0.1187,0.3596,0.4951,0.5041,-0.1114,-0.0504,0.252,0.2473,0.3115,0.1833,0.2771
TRD_CigDayEur_greS22,0.3345,0.3003,0.3025,0.1022,0.2097,0.0247,0.0575,-0.3726,0.2514,1.0,0.0665,-0.2675,0.1471,-0.0237,0.4179,0.2595,-0.1155,0.1717,0.0301,0.3561,-0.0254,0.0381,-0.0346,0.261,0.1643,-0.225,0.2034,-0.2055,0.183,0.0311,0.2337,0.3083,0.0373,-0.2716,0.2274,-0.0391,0.3307,0.2248,0.0146,0.0597,0.1087,0.2145,0.2609,-0.1697,-0.0836,0.1702,0.2152,0.391,0.3116,0.2486
