Parameter,True_Beta,OLS_Mean,OLS_Bias,OLS_Var,OLS_MSE,OLS_L2,MM_Mean,MM_Bias,MM_Var,MM_MSE,MM_L2,LASSO_Mean,LASSO_Bias,LASSO_Var,LASSO_MSE,LASSO_L2,CorrectLASSO_Mean,CorrectLASSO_Bias,CorrectLASSO_Var,CorrectLASSO_MSE,CorrectLASSO_L2,CoCoLASSO_Mean,CoCoLASSO_Bias,CoCoLASSO_Var,CoCoLASSO_MSE,CoCoLASSO_L2
Z1,13.70958447,13.70506481,-0.004519664,2.089761119,2.089781547,86.91267828,14.09184186,0.382257391,54495.90866,54496.05478,3160.617074,12.82401255,-0.885571917,1.81155825,2.595795871,73.88452637,6.652914199,-7.056670272,6.73471152,56.53130685,65.88767793,7.739801218,-5.969783254,4.476068088,40.11438019,49.80421194
Z2,-5.646981714,-5.612471256,0.034510458,0.511995722,0.513186693,86.91267828,-4.740796868,0.906184846,4856.333903,4857.155074,3160.617074,-5.162149508,0.484832206,0.472967371,0.708029639,73.88452637,-3.781820225,1.865161489,1.471399495,4.950226875,65.88767793,-4.080194913,1.566786801,1.012765501,3.467586379,49.80421194
Z3,3.631284113,3.613969899,-0.017314214,0.502634021,0.502933803,86.91267828,0.006537411,-3.624746702,2828.687595,2841.826383,3160.617074,3.164576165,-0.466707948,0.468130841,0.68594715,73.88452637,1.875124401,-1.756159713,1.09170603,4.175802966,65.88767793,2.145961829,-1.485322284,0.930540078,3.136722366,49.80421194
Z4,0,0.003323018,0.003323018,0.500620145,0.500631188,86.91267828,-4.485183976,-4.485183976,14658.77131,14678.88818,3160.617074,0.002656309,0.002656309,0.153128927,0.153135983,73.88452637,-0.001430986,-0.001430986,0.022087594,0.022089642,65.88767793,-0.001597124,-0.001597124,0.035946643,0.035949194,49.80421194
Z5,0,0.036319159,0.036319159,0.536704869,0.53802395,86.91267828,3.752243391,3.752243391,11865.925,11880.00433,3160.617074,0.019994685,0.019994685,0.155495835,0.155895622,73.88452637,-0.00038315,-0.00038315,0.016586388,0.016586535,65.88767793,0.002534989,0.002534989,0.022564694,0.02257112,49.80421194
Z6,0,-0.003195545,-0.003195545,0.560108833,0.560119044,86.91267828,2.957636699,2.957636699,3221.176313,3229.923928,3160.617074,0.000994703,0.000994703,0.169318113,0.169319103,73.88452637,0.0049484,0.0049484,0.021363687,0.021388173,65.88767793,0.009870747,0.009870747,0.037602918,0.03770035,49.80421194
Z7,0,0.050960729,0.050960729,0.525675347,0.528272343,86.91267828,2.611933825,2.611933825,8486.419784,8493.241983,3160.617074,0.011434131,0.011434131,0.141675703,0.141806442,73.88452637,0.002946041,0.002946041,0.02255416,0.02256284,65.88767793,0.007313706,0.007313706,0.032172993,0.032226484,49.80421194
Z8,0,-0.014595773,-0.014595773,0.523559154,0.523772191,86.91267828,-1.709828457,-1.709828457,10349.49314,10352.41665,3160.617074,-0.012203138,-0.012203138,0.142517144,0.142666061,73.88452637,-0.011289316,-0.011289316,0.024531329,0.024658778,65.88767793,-0.013428271,-0.013428271,0.034902854,0.035083172,49.80421194
Z9,0,-0.04507357,-0.04507357,0.504265933,0.506297559,86.91267828,0.270545996,0.270545996,10580.44871,10580.5219,3160.617074,-0.00331235,-0.00331235,0.143692543,0.143703515,73.88452637,-0.008632281,-0.008632281,0.028823983,0.0288985,65.88767793,-0.009506531,-0.009506531,0.040274045,0.040364419,49.80421194
Z10,0,-0.030716886,-0.030716886,0.541338057,0.542281584,86.91267828,3.787024604,3.787024604,7711.104359,7725.445914,3160.617074,-0.00672634,-0.00672634,0.174213549,0.174258793,73.88452637,-0.002523514,-0.002523514,0.025086435,0.025092803,65.88767793,0.000565684,0.000565684,0.039549287,0.039549607,49.80421194
X1,6.32862605,3.163251351,-3.165374699,0.580222307,10.59981929,86.91267828,6.013176674,-0.315449376,35021.219,35021.31851,3160.617074,2.979191744,-3.349434305,0.366560866,11.58527103,73.88452637,4.698905626,-1.629720424,3.244295341,5.900284001,65.88767793,4.542907903,-1.785718147,1.890661295,5.079450595,49.80421194
X2,4.042683231,2.113881974,-1.928801257,0.491689429,4.211963718,86.91267828,-2.508078378,-6.55076161,77262.12404,77305.03652,3160.617074,1.646721963,-2.395961269,0.36253233,6.10316273,73.88452637,2.536477959,-1.506205272,2.830545257,5.099199579,65.88767793,2.521321783,-1.521361448,1.704128531,4.018669187,49.80421194
X3,-1.061245161,-0.179285152,0.881960009,0.479853869,1.257707327,86.91267828,15.30942258,16.37066774,48725.05532,48993.05408,3160.617074,-0.109131555,0.952113606,0.104103814,1.010624132,73.88452637,0.063312086,1.124557247,1.099933461,2.364562462,65.88767793,-0.08232434,0.978920821,0.14815051,1.106436485,49.80421194
X4,15.11521997,8.441135229,-6.674084745,0.547584497,45.09099168,86.91267828,9.789692924,-5.325527051,58847.90446,58876.2657,3160.617074,8.723818922,-6.391401052,0.406725742,41.25673315,73.88452637,14.08340968,-1.031810291,3.987735208,5.052367686,65.88767793,13.96323639,-1.151983586,1.726858727,3.053924908,49.80421194
X5,-0.946590384,-0.936226357,0.010364027,0.557425335,0.557532748,86.91267828,8.047170273,8.993760657,43286.70778,43367.59551,3160.617074,-0.637768284,0.3088221,0.281663846,0.377034935,73.88452637,-0.138495192,0.808095192,1.375388398,2.028406237,65.88767793,-0.321963504,0.62462688,0.395107326,0.785266065,49.80421194
X6,0,-0.501117663,-0.501117663,0.539654926,0.790773839,86.91267828,12.68637625,12.68637625,22013.99205,22174.93619,3160.617074,-0.313834323,-0.313834323,0.179743408,0.27823539,73.88452637,0.116959699,0.116959699,0.762121381,0.775800952,65.88767793,0.015032192,0.015032192,0.118451815,0.118677781,49.80421194
X7,0,0.014929537,0.014929537,0.579855811,0.580078702,86.91267828,2.698394342,2.698394342,21481.8963,21489.17764,3160.617074,0.11569392,0.11569392,0.127682318,0.141067401,73.88452637,0.182240175,0.182240175,0.607023304,0.640234786,65.88767793,0.106981257,0.106981257,0.189442795,0.200887785,49.80421194
